date,trade_return
2022-01-03,0.043
2022-01-04,-0.031
2022-01-05,0.067
2022-01-06,-0.052
2022-01-07,0.028
2022-01-10,-0.019
2022-01-11,0.081
2022-01-12,-0.044
2022-01-13,0.035
2022-01-14,-0.062
2022-01-18,0.055
2022-01-19,-0.038
2022-01-20,0.072
2022-01-21,-0.027
2022-01-24,0.049
2022-01-25,-0.033
2022-01-26,0.061
2022-01-27,-0.048
2022-01-28,0.037
2022-01-31,-0.056
2022-02-01,0.088
2022-02-02,-0.041
2022-02-03,0.029
2022-02-04,-0.035
2022-02-07,0.064
2022-02-08,-0.023
2022-02-09,0.047
2022-02-10,-0.059
2022-02-11,0.076
2022-02-14,-0.031
2022-02-15,0.053
2022-02-16,-0.042
2022-02-17,0.039
2022-02-18,-0.067
2022-02-22,0.082
2022-02-23,-0.028
2022-02-24,0.045
2022-02-25,-0.051
2022-02-28,0.033
2022-03-01,-0.038
2022-03-02,0.071
2022-03-03,-0.044
2022-03-04,0.058
2022-03-07,-0.029
2022-03-08,0.066
2022-03-09,-0.053
2022-03-10,0.041
2022-03-11,-0.037
2022-03-14,0.079
2022-03-15,-0.046
