date,trade_return
2022-01-03,0.018
2022-01-04,0.021
2022-01-05,-0.006
2022-01-06,0.015
2022-01-07,0.019
2022-01-10,0.022
2022-01-11,-0.004
2022-01-12,0.017
2022-01-13,0.020
2022-01-14,-0.007
2022-01-18,0.016
2022-01-19,0.023
2022-01-20,-0.005
2022-01-21,0.018
2022-01-24,0.021
2022-01-25,-0.003
2022-01-26,0.019
2022-01-27,0.017
2022-01-28,-0.006
2022-01-31,0.020
2022-02-01,0.022
2022-02-02,-0.004
2022-02-03,0.018
2022-02-04,0.016
2022-02-07,0.021
2022-02-08,-0.005
2022-02-09,0.019
2022-02-10,0.023
2022-02-11,-0.003
2022-02-14,0.017
2022-02-15,0.020
2022-02-16,-0.006
2022-02-17,0.022
2022-02-18,0.018
2022-02-22,0.021
2022-02-23,-0.004
2022-02-24,0.016
2022-02-25,0.019
2022-02-28,0.023
2022-03-01,-0.005
2022-03-02,0.018
2022-03-03,0.020
2022-03-04,0.017
2022-03-07,-0.006
2022-03-08,0.021
2022-03-09,0.019
2022-03-10,0.022
2022-03-11,-0.003
2022-03-14,0.018
2022-03-15,0.016
